schema_version,section,level,dispersion_set,catalog,item,metric,value,units,notes
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B362,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B383,coast_min_range_m,219.4660,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B383,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B419,coast_min_range_m,222.2242,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B419,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=1,min_range_m,563.9347,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=1,erosion_m,0.0000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=2,min_range_m,563.7906,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=2,erosion_m,0.1441,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=3,min_range_m,563.5108,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=3,erosion_m,0.4239,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=4,min_range_m,563.0947,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=4,erosion_m,0.8400,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=5,min_range_m,562.5347,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=5,erosion_m,1.4000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=1,min_range_m,422.9539,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=1,erosion_m,0.0000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=2,min_range_m,422.8459,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=2,erosion_m,0.1081,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=3,min_range_m,422.6360,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=3,erosion_m,0.3180,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=4,min_range_m,422.3239,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=4,erosion_m,0.6301,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=5,min_range_m,421.9038,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=5,erosion_m,1.0501,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=1,min_range_m,563.9213,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=1,erosion_m,0.0000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=2,min_range_m,563.7897,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=2,erosion_m,0.1316,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=3,min_range_m,563.5249,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=3,erosion_m,0.3964,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=4,min_range_m,563.1343,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=4,erosion_m,0.7869,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=5,min_range_m,562.6045,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=5,erosion_m,1.3168,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=1,min_range_m,422.9439,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=1,erosion_m,0.0000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=2,min_range_m,422.8452,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=2,erosion_m,0.0987,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=3,min_range_m,422.6466,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=3,erosion_m,0.2973,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=4,min_range_m,422.3536,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=4,erosion_m,0.5903,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=5,min_range_m,421.9562,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=5,erosion_m,0.9877,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
