schema_version,catalog,run_index,run_seed,target_index,abort_ordinal,status,dv_mag_m_per_s,dv_second_burn_m_per_s,coast_min_range_m,bounded_min_range_m,clearance_m,keep_out_radius_m,clear_margin_m
1.1,SL-16 / Zenit-2 second stage,269,1888589630298391167,4,2,BoundedClearing,0.176929,0.000000,220.0064,220.0067,20.0064,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,271,8510210834762820703,3,1,Clean,0.034448,0.000000,362.6462,362.6462,162.6462,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,272,37359868583930705,3,1,Clean,0.048037,0.000000,288.8205,288.8204,88.8205,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,275,13047264150826898208,0,1,Clean,0.057287,0.000000,435.8634,435.8633,235.8634,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,275,13047264150826898208,3,2,Clean,0.068038,0.000000,346.1546,346.1544,146.1546,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,276,6346829783651655054,0,1,Clean,0.023366,0.000000,404.1895,404.1895,204.1895,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,276,6346829783651655054,2,2,Clean,0.005461,0.000000,438.1348,438.1348,238.1348,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,276,6346829783651655054,4,3,Clean,0.084308,0.000000,298.8167,298.8165,98.8167,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,283,15441742048210340051,1,1,Clean,0.083365,0.000000,336.7831,336.7829,136.7831,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,287,15270343409018410765,1,1,Clean,0.128532,0.000000,245.8556,245.8554,45.8556,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,289,10675388439954162260,3,1,Clean,0.197949,0.000000,237.0229,237.0223,37.0229,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,290,17338241396057652543,3,1,Clean,0.065087,0.000000,311.7480,311.7479,111.7480,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,293,13689546765884644772,1,1,Clean,0.058687,0.000000,358.4002,358.4002,158.4002,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,293,13689546765884644772,2,2,Clean,0.031609,0.000000,337.7078,337.7077,137.7078,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,296,7563907378689205102,3,1,Clean,0.037636,0.000000,371.8186,371.8185,171.8186,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,300,11255675117732468379,0,1,Clean,0.064871,0.000000,355.7372,355.7371,155.7372,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,302,13915029527908155417,0,1,Clean,0.125992,0.000000,244.8709,244.8706,44.8709,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,302,13915029527908155417,2,2,Clean,0.048105,0.000000,366.4591,366.4590,166.4591,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,303,18057285875456225838,1,1,Clean,0.065484,0.000000,388.6476,388.6476,188.6476,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,306,11371629865729384864,0,1,Clean,0.075964,0.000000,266.8693,266.8691,66.8693,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,306,11371629865729384864,3,2,Clean,0.053844,0.000000,421.3611,421.3611,221.3611,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,308,7873919474173068896,0,1,Clean,0.057584,0.000000,397.4521,397.4520,197.4521,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,316,10508092540235089909,3,1,Clean,0.055328,0.000000,314.3112,314.3109,114.3112,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,320,13579992900944320982,3,1,Clean,0.106536,0.000000,282.8900,282.8899,82.8900,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,321,12836158161384154316,1,1,Clean,0.063121,0.000000,366.1353,366.1352,166.1353,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,322,15034287005681719547,3,1,Clean,0.019095,0.000000,373.1062,373.1062,173.1062,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,324,15884449140465851166,3,1,Clean,0.085988,0.000000,235.4726,235.4725,35.4726,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,325,10475964670184039001,0,1,Clean,0.115831,0.000000,371.7186,371.7185,171.7186,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,327,2375587926860277634,0,1,Clean,0.016452,0.000000,442.9095,442.9095,242.9095,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,327,2375587926860277634,4,2,Clean,0.181419,0.000000,240.9841,240.9835,40.9841,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,328,15320275236770431475,0,1,Clean,0.081280,0.000000,378.3059,378.3058,178.3059,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,330,15785477284470837898,0,1,Clean,0.078522,0.000000,430.5167,430.5165,230.5167,200.0,20.0
